"","NOMBRE","Atropello","Choque","Otro","HERIDO","MUERTO","SOLO_DANOS","NO_LABORAL","LABORAL","cluster"
"1","Aguas Frías",16,39,30,63,0,22,32,53,"1"
"2","Aldea Pablo VI",27,35,21,64,2,17,38,45,"1"
"3","Alejandría",14,434,51,132,1,366,88,411,"1"
"4","Alejandro Echavarría",98,482,260,595,2,243,284,556,"3"
"5","Alfonso López",132,607,409,772,6,370,370,778,"3"
"6","Altamira",50,466,260,504,2,270,179,597,"3"
"7","Altavista",75,251,114,279,3,158,145,295,"1"
"8","Altavista Sector Central",22,46,56,95,5,24,48,76,"1"
"9","Altos del Poblado",15,239,72,157,0,169,70,256,"1"
"10","Andalucía",58,115,67,159,3,78,90,150,"1"
"11","Antonio Nariño",40,99,101,190,0,50,83,157,"1"
"12","Aranjuez",59,209,113,263,10,108,133,248,"1"
"13","Área de Expansión Altavista",11,18,18,40,0,7,19,28,"1"
"14","Área de Expansión Belén Rincón",1,8,2,7,0,4,6,5,"1"
"15","Área de Expansión Pajarito",92,357,305,569,9,176,260,494,"3"
"16","Área de Expansión San Antonio de Prado",7,36,14,39,2,16,21,36,"1"
"17","Asomadera No.1",16,324,76,167,2,247,126,290,"1"
"18","Asomadera No.2",8,391,90,181,1,307,135,354,"1"
"19","Asomadera No.3",2,105,37,64,1,79,36,108,"1"
"20","Astorga",11,266,24,104,0,197,57,244,"1"
"21","Aures No.1",75,170,241,386,3,97,190,296,"3"
"22","Aures No.2",74,200,309,470,2,111,211,372,"3"
"23","Barrio Caicedo",116,508,284,573,7,328,289,619,"3"
"24","Barrio Colombia",59,946,185,513,7,670,199,991,"3"
"25","Barrio Colón",319,2851,460,1402,16,2212,811,2819,"2"
"26","Barrio Cristóbal",12,114,28,90,1,63,50,104,"1"
"27","Barrios de Jesús",43,138,86,176,4,87,84,183,"1"
"28","Barro Blanco",0,1,1,1,0,1,1,1,"1"
"29","Batallón Girardot",6,4,1,9,0,2,3,8,"1"
"30","Belalcázar",33,398,125,306,4,246,159,397,"1"
"31","Belén",188,1861,399,1047,14,1387,647,1801,"2"
"32","Belencito",23,88,48,114,2,43,50,109,"1"
"33","Bello Horizonte",51,193,91,227,1,107,115,220,"1"
"34","Berlín",162,427,221,543,5,262,305,505,"3"
"35","Bermejal-Los Álamos",63,110,59,161,2,69,80,152,"1"
"36","Betania",20,40,50,81,2,27,41,69,"1"
"37","Blanquizal",16,39,33,62,1,25,29,59,"1"
"38","Bolivariana",51,745,141,457,3,477,221,716,"3"
"39","Bomboná No.1",84,967,182,560,7,666,329,904,"3"
"40","Bomboná No.2",36,191,106,202,2,129,114,219,"1"
"41","Bosques de San Pablo",24,249,95,189,1,178,91,277,"1"
"42","Boston",221,1736,337,1186,10,1098,629,1665,"2"
"43","Boyacá",58,336,191,378,2,205,180,405,"1"
"44","Brasilia",79,297,124,359,5,136,178,322,"1"
"45","Buenos Aires",84,696,213,608,1,384,309,684,"3"
"46","Buga Patio Bonito",8,35,15,36,0,22,23,35,"1"
"47","Cabecera Urbana Corregimiento San Cristóbal",113,296,248,472,8,177,250,407,"3"
"48","Calasanz",47,612,151,382,3,425,206,604,"3"
"49","Calasanz Parte Alta",32,375,130,288,2,247,166,371,"1"
"50","Calle Nueva",124,1299,195,610,3,1005,312,1306,"3"
"51","Campo Alegre",56,335,152,365,3,175,142,401,"1"
"52","Campo Amor",205,3160,782,1944,23,2180,792,3355,"2"
"53","Campo Valdés No.1",184,697,329,901,6,303,396,814,"3"
"54","Campo Valdés No.2",212,453,276,770,6,165,383,558,"3"
"55","Caribe",193,3302,941,2257,22,2157,992,3444,"2"
"56","Carlos E. Restrepo",139,2265,583,1361,7,1619,639,2348,"2"
"57","Carpinelo",39,30,36,83,1,21,50,55,"1"
"58","Castilla",326,1330,943,1908,25,666,815,1784,"2"
"59","Castropol",50,833,168,455,2,594,192,859,"3"
"60","Cataluña",30,153,93,158,1,117,103,173,"1"
"61","Cementerio Universal",6,152,53,106,0,105,55,156,"1"
"62","Centro Administrativo",21,210,67,144,2,152,55,243,"1"
"63","Cerro Nutibara",41,606,173,434,7,379,165,655,"3"
"64","Corazón de Jesús",182,1905,364,971,25,1455,526,1925,"2"
"65","Córdoba",50,256,204,351,2,157,147,363,"1"
"66","Cristo Rey",147,1450,326,975,17,931,477,1446,"2"
"67","Cuarta Brigada",101,861,220,614,5,563,250,932,"3"
"68","Cucaracho",63,521,420,739,1,264,344,660,"3"
"69","Diego Echavarría",18,304,91,196,1,216,98,315,"1"
"70","Doce de Octubre No.1",111,202,214,418,5,104,201,326,"3"
"71","Doce de Octubre No.2",109,273,242,492,5,127,222,402,"3"
