"FECHA","PERIODO","MES","MES_NOMBRE","SEMANA","DIA","DIA_NOMBRE","FESTIVO","FECHA_ESPECIAL"
2018-01-01,"2018","01","Enero","01","01","Lunes","Sí","No"
2018-01-02,"2018","01","Enero","01","02","Martes","No","No"
2018-01-03,"2018","01","Enero","01","03","Miércoles","No","No"
2018-01-04,"2018","01","Enero","01","04","Jueves","No","No"
2018-01-05,"2018","01","Enero","01","05","Viernes","No","No"
2018-01-06,"2018","01","Enero","01","06","Sábado","No","No"
2018-01-07,"2018","01","Enero","01","07","Domingo","No","No"
2018-01-08,"2018","01","Enero","02","08","Lunes","Sí","No"
2018-01-09,"2018","01","Enero","02","09","Martes","No","No"
2018-01-10,"2018","01","Enero","02","10","Miércoles","No","No"
2018-01-11,"2018","01","Enero","02","11","Jueves","No","No"
2018-01-12,"2018","01","Enero","02","12","Viernes","No","No"
2018-01-13,"2018","01","Enero","02","13","Sábado","No","No"
2018-01-14,"2018","01","Enero","02","14","Domingo","No","No"
2018-01-15,"2018","01","Enero","03","15","Lunes","No","No"
2018-01-16,"2018","01","Enero","03","16","Martes","No","No"
2018-01-17,"2018","01","Enero","03","17","Miércoles","No","No"
2018-01-18,"2018","01","Enero","03","18","Jueves","No","No"
2018-01-19,"2018","01","Enero","03","19","Viernes","No","No"
2018-01-20,"2018","01","Enero","03","20","Sábado","No","No"
2018-01-21,"2018","01","Enero","03","21","Domingo","No","No"
2018-01-22,"2018","01","Enero","04","22","Lunes","No","No"
2018-01-23,"2018","01","Enero","04","23","Martes","No","No"
2018-01-24,"2018","01","Enero","04","24","Miércoles","No","No"
2018-01-25,"2018","01","Enero","04","25","Jueves","No","No"
2018-01-26,"2018","01","Enero","04","26","Viernes","No","No"
2018-01-27,"2018","01","Enero","04","27","Sábado","No","No"
2018-01-28,"2018","01","Enero","04","28","Domingo","No","No"
2018-01-29,"2018","01","Enero","05","29","Lunes","No","No"
2018-01-30,"2018","01","Enero","05","30","Martes","No","No"
2018-01-31,"2018","01","Enero","05","31","Miércoles","No","No"
2018-02-01,"2018","02","Febrero","05","01","Jueves","No","No"
2018-02-02,"2018","02","Febrero","05","02","Viernes","No","No"
2018-02-03,"2018","02","Febrero","05","03","Sábado","No","No"
2018-02-04,"2018","02","Febrero","05","04","Domingo","No","No"
2018-02-05,"2018","02","Febrero","06","05","Lunes","No","No"
2018-02-06,"2018","02","Febrero","06","06","Martes","No","No"
2018-02-07,"2018","02","Febrero","06","07","Miércoles","No","No"
2018-02-08,"2018","02","Febrero","06","08","Jueves","No","No"
2018-02-09,"2018","02","Febrero","06","09","Viernes","No","No"
2018-02-10,"2018","02","Febrero","06","10","Sábado","No","No"
2018-02-11,"2018","02","Febrero","06","11","Domingo","No","No"
2018-02-12,"2018","02","Febrero","07","12","Lunes","No","No"
2018-02-13,"2018","02","Febrero","07","13","Martes","No","No"
2018-02-14,"2018","02","Febrero","07","14","Miércoles","No","No"
2018-02-15,"2018","02","Febrero","07","15","Jueves","No","No"
2018-02-16,"2018","02","Febrero","07","16","Viernes","No","No"
2018-02-17,"2018","02","Febrero","07","17","Sábado","No","No"
2018-02-18,"2018","02","Febrero","07","18","Domingo","No","No"
2018-02-19,"2018","02","Febrero","08","19","Lunes","No","No"
2018-02-20,"2018","02","Febrero","08","20","Martes","No","No"
2018-02-21,"2018","02","Febrero","08","21","Miércoles","No","No"
2018-02-22,"2018","02","Febrero","08","22","Jueves","No","No"
2018-02-23,"2018","02","Febrero","08","23","Viernes","No","No"
2018-02-24,"2018","02","Febrero","08","24","Sábado","No","No"
2018-02-25,"2018","02","Febrero","08","25","Domingo","No","No"
2018-02-26,"2018","02","Febrero","09","26","Lunes","No","No"
2018-02-27,"2018","02","Febrero","09","27","Martes","No","No"
2018-02-28,"2018","02","Febrero","09","28","Miércoles","No","No"
2018-03-01,"2018","03","Marzo","09","01","Jueves","No","No"
2018-03-02,"2018","03","Marzo","09","02","Viernes","No","No"
2018-03-03,"2018","03","Marzo","09","03","Sábado","No","No"
2018-03-04,"2018","03","Marzo","09","04","Domingo","No","No"
