"PERIODO","MES","MES_NOMBRE","NRO_ACCIDENTES"
2014,"01","Enero",1915
2014,"02","Febrero",2041
2014,"03","Marzo",2403
2014,"04","Abril",2129
2014,"05","Mayo",2237
2014,"06","Junio",2210
2014,"07","Julio",2265
2014,"08","Agosto",2288
2014,"09","Septiembre",2235
2014,"10","Octubre",2089
2014,"11","Noviembre",2045
2014,"12","Diciembre",2111
2015,"01","Enero",1960
2015,"02","Febrero",2061
2015,"03","Marzo",2329
2015,"04","Abril",2109
2015,"05","Mayo",2305
2015,"06","Junio",2017
2015,"07","Julio",2268
2015,"08","Agosto",2395
2015,"09","Septiembre",2289
2015,"10","Octubre",2212
2015,"11","Noviembre",2056
2015,"12","Diciembre",2176
2016,"01","Enero",1948
2016,"02","Febrero",2242
2016,"03","Marzo",2295
2016,"04","Abril",2267
2016,"05","Mayo",2233
2016,"06","Junio",2177
2016,"07","Julio",2301
2016,"08","Agosto",2449
2016,"09","Septiembre",2384
2016,"10","Octubre",2374
2016,"11","Noviembre",2198
2016,"12","Diciembre",1987
2017,"01","Enero",1978
2017,"02","Febrero",2159
2017,"03","Marzo",2180
2017,"04","Abril",2025
2017,"05","Mayo",2258
2017,"06","Junio",2023
2017,"07","Julio",2127
2017,"08","Agosto",2347
2017,"09","Septiembre",2238
2017,"10","Octubre",2092
2017,"11","Noviembre",2003
2017,"12","Diciembre",2009
2018,"01","Enero",1806
2018,"02","Febrero",1797
2018,"03","Marzo",2050
2018,"04","Abril",1935
2018,"05","Mayo",2037
2018,"06","Junio",1990
2018,"07","Julio",1973
2018,"08","Agosto",2005
2018,"09","Septiembre",1967
2018,"10","Octubre",1967
2018,"11","Noviembre",1728
2018,"12","Diciembre",1902
