"PERIODO","MES","MES_NOMBRE","SEMANA","NRO_ACCIDENTES"
2014,"01","Enero","01",267
2014,"01","Enero","02",372
2014,"01","Enero","03",460
2014,"01","Enero","04",454
2014,"01","Enero","05",362
2014,"02","Febrero","05",130
2014,"02","Febrero","06",490
2014,"02","Febrero","07",523
2014,"02","Febrero","08",528
2014,"02","Febrero","09",370
2014,"03","Marzo","09",149
2014,"03","Marzo","10",538
2014,"03","Marzo","11",545
2014,"03","Marzo","12",563
2014,"03","Marzo","13",536
2014,"03","Marzo","14",72
2014,"04","Abril","14",487
2014,"04","Abril","15",542
2014,"04","Abril","16",389
2014,"04","Abril","17",495
2014,"04","Abril","18",216
2014,"05","Mayo","18",286
2014,"05","Mayo","19",512
2014,"05","Mayo","20",482
2014,"05","Mayo","21",518
2014,"05","Mayo","22",439
2014,"06","Junio","22",59
2014,"06","Junio","23",561
2014,"06","Junio","24",565
2014,"06","Junio","25",516
2014,"06","Junio","26",458
2014,"06","Junio","27",51
2014,"07","Julio","27",452
2014,"07","Julio","28",468
2014,"07","Julio","29",534
2014,"07","Julio","30",520
2014,"07","Julio","31",291
2014,"08","Agosto","31",228
2014,"08","Agosto","32",543
2014,"08","Agosto","33",525
2014,"08","Agosto","34",493
2014,"08","Agosto","35",499
2014,"09","Septiembre","36",461
2014,"09","Septiembre","37",569
2014,"09","Septiembre","38",533
2014,"09","Septiembre","39",498
2014,"09","Septiembre","40",174
2014,"10","Octubre","40",364
2014,"10","Octubre","41",413
2014,"10","Octubre","42",474
2014,"10","Octubre","43",518
2014,"10","Octubre","44",320
2014,"11","Noviembre","44",131
2014,"11","Noviembre","45",469
2014,"11","Noviembre","46",479
2014,"11","Noviembre","47",474
2014,"11","Noviembre","48",492
2014,"12","Diciembre","01",193
2014,"12","Diciembre","49",507
2014,"12","Diciembre","50",478
2014,"12","Diciembre","51",486
2014,"12","Diciembre","52",447
2015,"01","Enero","01",214
2015,"01","Enero","02",366
2015,"01","Enero","03",474
2015,"01","Enero","04",515
2015,"01","Enero","05",391
2015,"02","Febrero","05",59
2015,"02","Febrero","06",547
2015,"02","Febrero","07",508
2015,"02","Febrero","08",488
2015,"02","Febrero","09",459
2015,"03","Marzo","09",79
2015,"03","Marzo","10",578
2015,"03","Marzo","11",536
2015,"03","Marzo","12",507
2015,"03","Marzo","13",514
2015,"03","Marzo","14",115
2015,"04","Abril","14",245
2015,"04","Abril","15",484
2015,"04","Abril","16",530
2015,"04","Abril","17",539
2015,"04","Abril","18",311
2015,"05","Mayo","18",196
2015,"05","Mayo","19",544
2015,"05","Mayo","20",533
2015,"05","Mayo","21",488
2015,"05","Mayo","22",544
2015,"06","Junio","23",552
2015,"06","Junio","24",443
2015,"06","Junio","25",456
2015,"06","Junio","26",437
2015,"06","Junio","27",129
2015,"07","Julio","27",324
2015,"07","Julio","28",561
2015,"07","Julio","29",557
2015,"07","Julio","30",445
2015,"07","Julio","31",381
2015,"08","Agosto","31",144
2015,"08","Agosto","32",518
2015,"08","Agosto","33",534
2015,"08","Agosto","34",520
2015,"08","Agosto","35",598
2015,"08","Agosto","36",81
2015,"09","Septiembre","36",443
2015,"09","Septiembre","37",574
2015,"09","Septiembre","38",542
2015,"09","Septiembre","39",507
2015,"09","Septiembre","40",223
2015,"10","Octubre","40",294
2015,"10","Octubre","41",495
2015,"10","Octubre","42",518
2015,"10","Octubre","43",469
2015,"10","Octubre","44",436
2015,"11","Noviembre","44",60
2015,"11","Noviembre","45",454
2015,"11","Noviembre","46",480
2015,"11","Noviembre","47",484
2015,"11","Noviembre","48",505
2015,"11","Noviembre","49",73
2015,"12","Diciembre","49",441
2015,"12","Diciembre","50",514
2015,"12","Diciembre","51",541
2015,"12","Diciembre","52",465
2015,"12","Diciembre","53",215
2016,"01","Enero","01",395
