"FECHA","PERIODO","MES","SEMANA","DIA","DIA_NOMBRE","FESTIVO","LABORAL","HALLOWEEN","NAVIDAD","FIN_DE_ANIO","FERIA_DE_FLORES","SEMANA_SANTA","FIESTA_DEL_TAMARINDO","FIESTA_DE_LOS_ZOCALOS","DIA_DE_LA_MADRE","DI.A_SIN_CARRO","MARATON_DE_LAS_FLORES","ANIO_REFERENCIA","MES_01","MES_02","MES_03","MES_04","MES_05","MES_06","MES_07","MES_08","MES_09","MES_10","MES_11","MES_12","SEMANA_01","SEMANA_02","SEMANA_03","SEMANA_04","SEMANA_05","SEMANA_06","SEMANA_07","SEMANA_08","SEMANA_09","SEMANA_10","SEMANA_11","SEMANA_12","SEMANA_13","SEMANA_14","SEMANA_15","SEMANA_16","SEMANA_17","SEMANA_18","SEMANA_19","SEMANA_20","SEMANA_21","SEMANA_22","SEMANA_23","SEMANA_24","SEMANA_25","SEMANA_26","SEMANA_27","SEMANA_28","SEMANA_29","SEMANA_30","SEMANA_31","SEMANA_32","SEMANA_33","SEMANA_34","SEMANA_35","SEMANA_36","SEMANA_37","SEMANA_38","SEMANA_39","SEMANA_40","SEMANA_41","SEMANA_42","SEMANA_43","SEMANA_44","SEMANA_45","SEMANA_46","SEMANA_47","SEMANA_48","SEMANA_49","SEMANA_50","SEMANA_51","SEMANA_52","SEMANA_53","DIA_01","DIA_02","DIA_03","DIA_04","DIA_05","DIA_06","DIA_07","DIA_08","DIA_09","DIA_10","DIA_11","DIA_12","DIA_13","DIA_14","DIA_15","DIA_16","DIA_17","DIA_18","DIA_19","DIA_20","DIA_21","DIA_22","DIA_23","DIA_24","DIA_25","DIA_26","DIA_27","DIA_28","DIA_29","DIA_30","DIA_31","DIA_NOMBRE_DOMINGO","DIA_NOMBRE_JUEVES","DIA_NOMBRE_LUNES","DIA_NOMBRE_MARTES","DIA_NOMBRE_MIÉRCOLES","DIA_NOMBRE_SÁBADO","DIA_NOMBRE_VIERNES"
2018-01-01,"2018","01","01","01","LUNES",1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-01-02,"2018","01","01","02","MARTES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-01-03,"2018","01","01","03","MIÉRCOLES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2018-01-04,"2018","01","01","04","JUEVES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2018-01-05,"2018","01","01","05","VIERNES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2018-01-06,"2018","01","01","06","SÁBADO",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2018-01-07,"2018","01","01","07","DOMINGO",0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2018-01-08,"2018","01","02","08","LUNES",1,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2018-01-09,"2018","01","02","09","MARTES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2018-01-10,"2018","01","02","10","MIÉRCOLES",0,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
