"PERIODO","MES","MES_NOMBRE","NRO_ACCIDENTES"
2014,"01","Enero",1498
2014,"02","Febrero",1619
2014,"03","Marzo",1863
2014,"04","Abril",1602
2014,"05","Mayo",1769
2014,"06","Junio",1526
2014,"07","Julio",1683
2014,"08","Agosto",1652
2014,"09","Septiembre",1642
2014,"10","Octubre",1647
2014,"11","Noviembre",1567
2014,"12","Diciembre",1719
2015,"01","Enero",1303
2015,"02","Febrero",1520
2015,"03","Marzo",1667
2015,"04","Abril",1637
2015,"05","Mayo",1749
2015,"06","Junio",1582
2015,"07","Julio",1793
2015,"08","Agosto",1709
2015,"09","Septiembre",1846
2015,"10","Octubre",1764
2015,"11","Noviembre",1668
2015,"12","Diciembre",1757
2016,"01","Enero",1374
2016,"02","Febrero",1616
2016,"03","Marzo",1652
2016,"04","Abril",1725
2016,"05","Mayo",1704
2016,"06","Junio",1552
2016,"07","Julio",1664
2016,"08","Agosto",1807
2016,"09","Septiembre",1711
2016,"10","Octubre",1868
2016,"11","Noviembre",1710
2016,"12","Diciembre",1863
2017,"01","Enero",1499
2017,"02","Febrero",1706
2017,"03","Marzo",1734
2017,"04","Abril",1625
2017,"05","Mayo",1792
2017,"06","Junio",1707
2017,"07","Julio",1765
2017,"08","Agosto",1873
2017,"09","Septiembre",1806
2017,"10","Octubre",1797
2017,"11","Noviembre",1694
2017,"12","Diciembre",1773
2018,"01","Enero",1384
2018,"02","Febrero",1674
2018,"03","Marzo",1583
2018,"04","Abril",1701
2018,"05","Mayo",1749
2018,"06","Junio",1598
2018,"07","Julio",1614
2018,"08","Agosto",1858
2018,"09","Septiembre",1756
2018,"10","Octubre",1815
2018,"11","Noviembre",1792
2018,"12","Diciembre",1774
