"PERIODO","MES","MES_NOMBRE","SEMANA","NRO_ACCIDENTES"
2014,"01","Enero","01",165
2014,"01","Enero","02",276
2014,"01","Enero","03",355
2014,"01","Enero","04",392
2014,"01","Enero","05",310
2014,"02","Febrero","05",81
2014,"02","Febrero","06",394
2014,"02","Febrero","07",441
2014,"02","Febrero","08",375
2014,"02","Febrero","09",328
2014,"03","Marzo","09",97
2014,"03","Marzo","10",458
2014,"03","Marzo","11",427
2014,"03","Marzo","12",426
2014,"03","Marzo","13",391
2014,"03","Marzo","14",64
2014,"04","Abril","14",320
2014,"04","Abril","15",443
2014,"04","Abril","16",271
2014,"04","Abril","17",380
2014,"04","Abril","18",188
2014,"05","Mayo","18",196
2014,"05","Mayo","19",387
2014,"05","Mayo","20",408
2014,"05","Mayo","21",419
2014,"05","Mayo","22",359
2014,"06","Junio","22",30
2014,"06","Junio","23",395
2014,"06","Junio","24",368
2014,"06","Junio","25",336
2014,"06","Junio","26",366
2014,"06","Junio","27",31
2014,"07","Julio","27",309
2014,"07","Julio","28",376
2014,"07","Julio","29",354
2014,"07","Julio","30",385
2014,"07","Julio","31",259
2014,"08","Agosto","31",157
2014,"08","Agosto","32",409
2014,"08","Agosto","33",379
2014,"08","Agosto","34",306
2014,"08","Agosto","35",401
2014,"09","Septiembre","36",356
2014,"09","Septiembre","37",393
2014,"09","Septiembre","38",420
2014,"09","Septiembre","39",356
2014,"09","Septiembre","40",117
2014,"10","Octubre","40",264
2014,"10","Octubre","41",361
2014,"10","Octubre","42",328
2014,"10","Octubre","43",356
2014,"10","Octubre","44",338
2014,"11","Noviembre","44",73
2014,"11","Noviembre","45",326
2014,"11","Noviembre","46",405
2014,"11","Noviembre","47",349
2014,"11","Noviembre","48",414
2014,"12","Diciembre","01",148
2014,"12","Diciembre","49",438
2014,"12","Diciembre","50",353
2014,"12","Diciembre","51",436
2014,"12","Diciembre","52",344
2015,"01","Enero","01",87
2015,"01","Enero","02",274
2015,"01","Enero","03",293
